category,vendors,avg_lt_weeks,max_lt_weeks,trend_up_rate,pricing_up_rate
Capacitors - Polymer Tantalum,3,40.0,54.0,100%,100%
Capacitors - Tantalum Conformals,2,35.5,40.0,100%,100%
Hybrid Wet Tantalums,1,35.0,40.0,100%,100%
Leaded Capacitors - Ceramic,4,32.2,40.0,100%,100%
Specialty Capacitors,3,29.0,40.0,100%,100%
Hybrid Aluminum Polymer Capacitors,1,28.5,33.0,100%,0%
Surface Mount General Capacitors,1,25.0,26.0,0%,0%
High Frequency Ceramic Capacitors,1,23.0,26.0,100%,100%
"MLCCs, Radial, Safety Caps",1,23.0,26.0,100%,100%
Surface Mount General Capacitors – Ceramic *Automotive grade,9,21.3,28.0,100%,56%
Aluminum Electrolytic,6,21.2,40.0,50%,100%
Resistor Networks,3,20.8,28.0,0%,33%
Current Sense Resistors,9,20.7,52.0,11%,11%
Capacitors - Film,5,20.5,45.0,60%,80%
Capacitors - Tantalum Molded,2,19.8,30.0,100%,100%
Surface Mount General Capacitors – Ceramic (greater than 1uf),11,19.5,24.0,100%,55%
Thick Film Resistors,9,19.3,46.0,11%,22%
Tantalum Capacitors,1,19.0,20.0,100%,100%
Filters,6,19.0,26.0,50%,83%
Thin Film Resistors,10,18.7,46.0,0%,0%
Surface Mount General Capacitors – Ceramic (Less than 1uf),11,18.6,24.0,100%,45%
Capacitors - Supercapacitors,6,18.5,30.0,0%,67%
Surface Mount General Capacitors – Ceramic,1,18.0,20.0,0%,0%
Inductors / Transformers,13,17.0,32.0,0%,77%
Trimmers & Pots,3,14.7,20.0,0%,67%
