vendor,categories,avg_vendor_score,avg_lt_weeks,max_lt_weeks,pricing_up_rate,trend_up_rate
Quantic Evans,1,72.0,35.0,40.0,100%,100%
WIMA,1,67.2,21.0,24.0,100%,100%
KYOCERA AVX,9,65.1,27.9,40.0,89%,89%
TDK EPCOS,2,62.8,26.2,45.0,100%,100%
Nichicon,1,62.5,26.0,30.0,100%,100%
United Chemi-Con,1,59.3,23.0,28.0,100%,100%
Quantic UTC,1,59.3,23.0,26.0,100%,100%
Quantic Eulex,1,59.3,23.0,26.0,100%,100%
Walsin Technology Corporation,3,56.2,20.0,22.0,100%,100%
TDK,5,52.4,20.2,24.0,100%,80%
ELNA,1,51.4,25.0,30.0,100%,0%
Samsung Electro-Mechanics,5,51.0,31.2,46.0,40%,60%
TAIYO YUDEN,6,50.8,20.5,33.0,83%,83%
Quantic Paktron,1,49.8,14.0,16.0,100%,100%
Vishay,14,47.4,21.1,54.0,86%,57%
Murata,7,41.6,19.7,26.0,43%,71%
Panasonic Industry,7,39.5,25.9,48.0,43%,14%
Sumida,1,38.3,22.0,24.0,100%,0%
NIC Components,11,37.2,18.4,36.0,45%,55%
YAGEO,7,36.1,22.0,24.0,0%,43%
Würth Elektronik,2,36.1,27.0,32.0,50%,0%
Samwha USA,3,35.9,15.0,16.0,0%,100%
TT Electronics - IRC,3,33.8,32.0,52.0,0%,0%
CTS,1,33.5,17.5,20.0,100%,0%
HALO Electronics,1,30.9,15.0,16.0,100%,0%
AiSHi,1,30.9,15.0,16.0,100%,0%
Eaton,2,30.3,14.5,20.0,100%,0%
Surge,3,29.7,18.7,26.0,67%,0%
Viking,5,28.3,12.6,16.0,20%,60%
Pulse Electronics,2,28.2,12.5,16.0,100%,0%
Piher,1,26.6,11.0,12.0,100%,0%
Delevan,1,24.3,23.0,24.0,0%,0%
Abracon,2,21.7,20.5,22.0,0%,0%
Prosperity Dielectrics,1,19.0,18.0,20.0,0%,0%
TT Electronics - BI Technologies,1,19.0,18.0,20.0,0%,0%
Susumu,2,18.0,17.0,20.0,0%,0%
Stackpole Electronics,3,15.5,14.7,20.0,0%,0%
ROHM,3,9.5,9.0,10.0,0%,0%
