rank,line,name,family,2025,2024,yoy_pct,share_pct_total_pce,reasoning,source_tags
1,49,Housing and utilities,Housing & utilities,3801.214,3603.64,5.482623125506425,18.1400140311146,"Shelter is the core human consumption function, and it absorbs the largest recurring share of household budgets.",H3
2,60,Health care,Health care services,3551.57,3314.991,7.1366407932932585,16.948672090675686,"Medical spending is supported by demographics, chronic care demand, and high labor and facility intensity.",H3
3,95,Other services,Other services,1777.887,1675.793,6.092279893757757,8.484367132641372,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
4,39,Other nondurable goods,Other nondurables,1728.589,1633.141,5.844443315059755,8.249109025177313,"Fast-turn, everyday-use items create large aggregate spend despite modest ticket sizes.",H3
5,86,Financial services and insurance,Financial services & insurance,1689.841,1560.423,8.293776751560312,8.0641972407638,"Insurance spending rises with underlying asset values, claims costs, and medical utilization.",H3
6,26,Food and beverages purchased for off-premises consumption,Food at home,1529.922,1479.572,3.4030111410597197,7.301037654420643,"Groceries are universal, repetitive spending, so even low single-digit growth compounds into very large dollar totals.",H3
7,81,Food services and accommodations,Food away from home,1495.154,1428.965,4.631953896701457,7.13511908002999,"Eating away from home layers wages, rent, and service margins onto basic calorie demand.",H3
8,76,Recreation services,Recreation services,819.215,777.049,5.42642741963506,3.9094277760998324,"Households continue to spend on leisure, media, and entertainment when income and confidence hold up.",H3
9,4,Motor vehicles and parts,Vehicles & parts,758.834,732.779,3.555642287783889,3.6212797825344265,Transportation needs keep autos and parts near the top of the durable-goods stack.,H3
10,68,Transportation services,Transportation services,703.698,660.506,6.539229015330683,3.358161785594624,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
11,13,Recreational goods and vehicles,Recreation durables,697.612,663.732,5.104469876395901,3.3291183996149436,Entertainment hardware and sports gear remain meaningful discretionary goods categories.,H3
12,111,Final consumption expenditures of nonprofit institutions serving households (NPISHs),NPISH services,608.238,613.113,-0.7951225956715935,2.9026110748453213,Nonprofit-provided household services are economically real consumption even when paid indirectly.,H3
13,30,Clothing and footwear,Apparel & footwear,561.764,530.206,5.952026193592674,2.6808295566035123,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
14,8,Furnishings and durable household equipment,Home durables,507.34,490.018,3.534972184695251,2.421109339949206,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
15,36,Gasoline and other energy goods,Energy goods,422.353,440.526,-4.1252956692681035,2.0155374956746304,"Fuel spending moves with miles driven and commodity prices, making it one of the more volatile household goods lines.",H3
16,19,Other durable goods,Other durables,301.627,291.555,3.454579753391296,1.4394133064234225,Small but durable household and personal items add up because of broad usage.,H3
